,id_author,name,gender,birth_date,birth_place,nationality,description,active_start,active_end,province,region,country,latitude,longitude
28,ART57616402,ensi,M,1985-12-13,Alpignano,Italia,rapper italiano (1985-),2002-01-01,,Torino,Piemonte,Italia,45.0957237,7.5254027
29,ART19729064,entics,M,1985-03-16,Milano,Italia,cantante italiano,,,Milano,Lombardia,Italia,45.4641943,9.1896346
30,ART76284946,ernia,M,1993-11-29,Milano,Italia,rapper italiano (1993-),2011-01-01,,Milano,Lombardia,Italia,45.4641943,9.1896346
31,ART14073567,eva rea,F,,,,,,,,,,,
32,ART25707984,fabri fibra,M,1976-10-17,Senigallia,Italia,rapper italiano (1976-),1996-01-01,,Ancona,,Italia,43.7149517,13.2179488
33,ART07024718,fedez,M,1989-10-15,Milano,Italia,"rapper, personaggio televisivo e imprenditore italiano (1989-)",2006-01-01,,Milano,Lombardia,Italia,45.4641943,9.1896346
34,ART46711784,frah quintale,M,1989-12-27,Brescia,Italia,cantautore e rapper italiano (1989-),2006-01-01,,Brescia,Lombardia,Italia,45.7795804,10.425873
35,ART31005348,frankie hi-nrg mc,M,1969-08-18,Torino,Italia,rapper e cantautore italiano (1969-),1991-01-01,,Torino,Piemonte,Italia,45.0677551,7.6824892
36,ART52465778,fred de palma,M,1989-11-03,Torino,Italia,cantautore e rapper italiano (1989-),,,Torino,Piemonte,Italia,45.0677551,7.6824892
37,ART85046033,gemitaiz,M,1988-11-04,Roma,Italia,rapper e produttore discografico italiano (1988),2003-01-01,,Roma,Lazio,Italia,41.8933203,12.4829321
38,ART87162895,geolier,M,2000-03-23,Napoli,Italia,rapper italiano (2000-),,,Napoli,Campania,Italia,40.8358846,14.2487679
39,ART83125571,ghali,M,1993-05-21,Milano,Italia,rapper e cantautore italo-tunisino (1993-),2011-01-01,,Milano,Lombardia,Italia,45.4641943,9.1896346
40,ART73965015,ghemon,M,1982-04-01,Avellino,Italia,"rapper, cantante e stand up comedian italiano",1996-01-01,,Avellino,Campania,Italia,40.9965446,15.140569
41,ART79325822,grido,M,1979-03-30,Milano,Italia,rapper e cantautore italiano (1979),1996-01-01,,Milano,Lombardia,Italia,45.4641943,9.1896346
42,ART04141409,guè pequeno,M,,,,,,,,,,,
43,ART91515842,hell raton,M,1990-05-14,Olbia,Italia,rapper e produttore discografico italiano (1990-),,,Gallura,Sardegna,Italia,40.9232659,9.5027442
44,ART59593021,hindaco,F,,,,,,,,,,,
45,ART08177154,il tre,M,1997-01-01,Roma,Italia,rapper e cantautore italiano (1997-),2015-01-01,,Roma,Lazio,Italia,41.8933203,12.4829321
46,ART57730937,inoki,M,1979-10-02,Roma,Italia,rapper e produttore discografico italiano (1979),1996-01-01,,Roma,Lazio,Italia,41.8933203,12.4829321
47,ART17812958,j-ax,M,1972-08-05,Milano,Italia,"rapper, cantautore e produttore discografico italiano (1972-)",1990-01-01,,Milano,Lombardia,Italia,45.4641943,9.1896346
48,ART80977821,jack the smoker,M,1982-12-20,Milano,Italia,rapper e produttore discografico italiano (1982-),,,Milano,Lombardia,Italia,45.4641943,9.1896346
49,ART88792008,jake la furia,M,1979-02-25,Milano,Italia,rapper italiano (1979-),1999-01-01,,Milano,Lombardia,Italia,45.4641943,9.1896346
50,ART88199433,joey funboy,F,,,,,,,,,,,
51,ART07469279,johnny marsiglia,M,,,,,,,,,,,
52,ART88423027,la pina,F,1970-06-20,Firenze,Italia,"rapper, conduttrice radiofonica e televisiva italiana (1970-)",,,Firenze,Toscana,Italia,43.7697955,11.2556404
53,ART39344115,lazza,M,1994-08-22,Scampia,Italia,"rapper, musicista e produttore discografico italiano (1994-)",2012-01-01,,Napoli,Campania,Italia,40.8999881,14.2410519
54,ART05528539,luchè,M,1981-01-07,Napoli,Italia,rapper e produttore discografico italiano,,,Napoli,Campania,Italia,40.8358846,14.2487679
55,ART20729624,madame,F,2002-01-16,Vicenza,Italia,cantautrice e rapper italiana (2002-),2018-01-01,,Vicenza,Veneto,Italia,45.6348591,11.4063543
56,ART40433104,madman,M,1988-07-25,Grottaglie,Italia,rapper italiano (1988),2006-01-01,,Taranto,Puglia,Italia,40.5361927,17.4342206
57,ART16868977,mahmood,M,1992-09-12,Milano,Italia,cantautore e paroliere italiano (1992-),2012-01-01,,Milano,Lombardia,Italia,45.4641943,9.1896346
58,ART61734477,mambolosco,M,1991-08-16,Vicenza,Italia,rapper italiano (1991-),,,Vicenza,Veneto,Italia,45.6348591,11.4063543
59,ART02733420,marracash,M,1979-05-22,Nicosia,Italia,rapper e produttore discografico italiano (1979-),1999-01-01,,Enna,Sicilia,Italia,37.747452,14.397271
60,ART63613967,massimo pericolo,M,1993-11-30,Gallarate,Italia,criminale e rapper italiano,,,Varese,Lombardia,Italia,45.6598951,8.7932013
61,ART37807199,mike24,M,,,,,,,,,,,
62,ART43601431,miss keta,F,,,,,,,,,,,
63,ART51628788,miss simpatia,F,,,,,,,,,,,
64,ART48537029,mistaman,M,1976-09-11,Treviso,Italia,rapper italiano,,,Treviso,Veneto,Italia,45.8066913,12.2063158
65,ART66452136,mistico,M,,,,tipo di barca a vela usata nel XVIII e XIX secolo,,,,,,,
66,ART91352277,mondo marcio,M,1986-12-01,Milano,Italia,rapper e produttore discografico italiano,,,Milano,Lombardia,Italia,45.4641943,9.1896346
67,ART71846481,mr. rain,M,1991-11-19,Desenzano del Garda,Italia,cantautore e rapper italiano (1991-),2011-01-01,,Brescia,Lombardia,Italia,45.4694851,10.5389467
68,ART86576759,mudimbi,M,1986-10-17,San Benedetto del Tronto,Italia,cantante italiano,2013-01-01,,Ascoli Piceno,Marche,Italia,42.9525328,13.8807144
69,ART52272796,neffa,M,1967-10-07,Scafati,Italia,"cantautore, rapper e produttore discografico italiano (1967-)",1988-01-01,,Salerno,Campania,Italia,40.7499887,14.5269491
70,ART62385172,nerone,M,0037-12-15,Anzio,antica Roma,opera lirica di Pietro Mascagni,,,,Lazio,,,
71,ART07629990,nesli,M,1980-12-29,Senigallia,Italia,"cantautore, rapper e produttore discografico italiano",1990-01-01,,Ancona,Lombardia,Italia,43.7149517,13.2179488
72,ART19060721,niky savage,M,1997-07-22,Milano,,Rapper italiano,,,Milano,Lombardia,Italia,45.4641943,9.1896346
73,ART78358659,nitro,M,1993-02-11,Vicenza,Italia,rapper italiano (1993-),2007-01-01,,Vicenza,Veneto,Italia,45.6348591,11.4063543
74,ART07127070,noyz narcos,M,1979-12-15,Roma,Italia,rapper e produttore discografico italiano (1979-),1996-01-01,,Roma,Lazio,Italia,41.8933203,12.4829321
75,ART42220690,o zulù,M,,,,,,,,,,,
76,ART12092805,papa v,M,2001-02-19,Pieve Emanuele,Italia,rapper italiano (2001-),,,Milano,Lombardia,Italia,45.3559126,9.2020722
77,ART66932389,piotta,M,1973-04-26,Roma,Italia,rapper e produttore discografico italiano (1973-),1994-01-01,,Roma,Lazio,Italia,41.8933203,12.4829321
78,ART87389753,priestess,F,,,,gruppo musicale canadese,2003-01-01,,,Lombardia,Canada,,
79,ART08456301,rancore,M,1989-07-19,Roma,Italia,rapper italiano (1989-),2004-01-01,,Roma,Lazio,Italia,41.8933203,12.4829321
80,ART89596800,rkomi,M,1994-04-19,Milano,Italia,rapper e cantautore italiano (1994-),2012-01-01,,Milano,Lombardia,Italia,45.4641943,9.1896346
81,ART17240256,rocco hunt,M,1994-11-21,Salerno,Italia,cantautore e rapper italiano (1994-),2009-01-01,,Salerno,Campania,Italia,40.4194416,15.3106085
82,ART08302616,rondodasosa,M,2002-04-29,San Siro,Italia,rapper italiano (2002-),,,Milano,Lombardia,Italia,45.4782003,9.123964
83,ART04205421,rosa chemical,M,1998-01-30,Grugliasco,Italia,rapper e cantautore italiano (1998-),2015-01-01,,Torino,Piemonte,Italia,45.068046,7.57762
84,ART74676403,rose villain,F,1989-07-20,Milano,Italia,cantautrice e rapper italiana (1989-),2010-01-01,,Milano,Lombardia,Italia,45.4641943,9.1896346
85,ART02449272,roshelle,F,1995-09-18,Lodi,Italia,cantante e rapper italiana (1995-),2016-01-01,,Lodi,Lombardia,Italia,45.2613104,9.4916781
86,ART48622722,salmo,M,1984-06-29,Olbia,Italia,rapper e produttore discografico italiano (1984-),1997-01-01,,Gallura,Sardegna,Italia,40.9232659,9.5027442
87,ART56967402,samuel heron,M,,,,,,,,,,,
88,ART87497821,sfera ebbasta,M,1992-12-07,Sesto San Giovanni,Italia,rapper italiano (1992-),2011-01-01,,Milano,Lombardia,Italia,45.5357218,9.2376549
89,ART98307962,shablo,M,1980-11-17,Buenos Aires,Argentina,disc jockey e produttore discografico italo-argentino (1980-),,,,Umbria,,44.8037407,10.1430038
90,ART26418649,shade,M,1987-12-10,Torino,Italia,rapper e doppiatore italiano (1987-),2005-01-01,,Torino,Piemonte,Italia,45.0677551,7.6824892
91,ART64850829,shiva,M,http://www.wikidata.org/.well-known/genid/4111f32c49a23235b2e902dc8621d27c,,,dio indiano della distruzione e della trasformazione,,,,,,,
92,ART41225226,skioffi,M,,,,,,,,,,,
93,ART28717687,slait,M,1987-01-24,Olbia,Italia,rapper e produttore discografico italiano (1987-),,,Gallura,Sardegna,Italia,40.9232659,9.5027442
94,ART22979236,sottotono,M,,,,gruppo musicale italiano,,,,Lazio,,,
95,ART85780419,tedua,M,1994-02-21,Genova,Italia,"cantautore, rapper e attore italiano (1994-)",,,Genova,Liguria,Italia,44.40726,8.9338624
96,ART88026810,thasup,M,2001-03-17,Fiumicino,Italia,rapper e produttore discografico italiano (2001-),2015-01-01,,Roma,Lazio,Italia,41.7712145,12.2278855
97,ART51721248,tony boy,M,1999-09-26,Padova,Italia,rapper italiano (1999-),,,Padova,Veneto,Italia,45.391408,11.8058487
98,ART57242110,tony effe,M,1991-05-17,Roma,Italia,rapper italiano (1991-),,,Roma,Lazio,Italia,41.8933203,12.4829321
99,ART98118784,tormento,M,1975-09-06,Reggio Calabria,Italia,"rapper, cantautore e beatmaker italiano (1975-)",,,Reggio Calabria,Calabria,Italia,38.1035389,15.6397556
100,ART15560128,vacca,M,1979-10-21,Cagliari,Italia,rapper italiano,2001-01-01,,Cagliari,Sardegna,Italia,39.2171994,9.113311
101,ART57587384,willie peyote,M,1985-08-28,Torino,Italia,rapper e cantautore italiano (1985-),2004-01-01,,Torino,Piemonte,Italia,45.0677551,7.6824892
102,ART71515715,yeиdry,F,,,,,,,,,,,
103,ART83631935,yung snapp,M,1996-08-06,Napoli,Italia,produttore discografico e rapper italiano,,,Napoli,Campania,Italia,40.8358846,14.2487679
