id_artist,name_artist,title,swear_IT,swear_EN,year,n_tokens,tokens_per_sent,char_per_tok,lexical_density,avg_token_per_clause,bpm,centroid,rolloff,flux,flatness,spectral_complexity,pitch,loudness,album_type,explicit,popularity,duration_sec,swear_ratio,aggressiveness,relative_popularity,release_season,has_collaboration,song_age
ART04205421,Rosa Chemical,​polka 2 :-/,1.6990422347955454,0.49586692388396064,0.8908183027593909,911,0.3296826238592307,4.170454545454546,0.5752840909090909,0.6212957715351094,1.7774923534031037,0.1858,7.335695020140496,1.4499,0.8202,25.7148,2311.1779,17.8675,album,True,46,3.7965664601216793,1.0535365812109232,1.1152000711260714,7.0,Spring,1,0.9401695443020374
ART04205421,Rosa Chemical,​britney ;-),1.8022458682744753,0.4961811953809145,0.8908183027593909,758,0.1739827215726305,4.075250836120401,0.5568561872909699,0.7331676487528597,1.7754440256626909,0.1833,6.71851960889644,1.3822,0.7842,26.9762,2484.3503,29.459,album,True,39,3.729880587993,1.310284933321866,1.0708935642219637,11.0,Winter,1,0.9401695443020374
ART04205421,Rosa Chemical,CEO,1.4289907815652687,0.4941705847121841,0.48630194400831767,382,0.9664113255023887,4.023880597014926,0.5343283582089552,-0.07412249546730683,1.8074850030049896,0.1048,5.8314286276633895,1.5499,0.8764,14.2956,2984.6109,20.5067,single,True,47,3.605551275463989,1.9635881929495342,0.636895420033686,6.0,Spring,1,1.033725510560421
ART04205421,Rosa Chemical,LONDRA,-0.03420946119165726,-1.15640175280914,0.6831403697746746,429,0.3344954799573806,3.922857142857143,0.4914285714285714,0.7294381963971764,1.7354735821324079,0.1421,6.41495130237942,1.0886,0.8571,36.6951,1572.0499,25.3407,album,True,41,3.7358164744943103,-0.24431561360237172,-0.2087201625236177,9.0,Spring,1,0.9909092289430546
ART04205421,Rosa Chemical,BOHEME,0.47049762324910943,-1.15640175280914,0.6831403697746746,387,-1.095482536153399,4.16060606060606,0.5060606060606061,-0.22861035830678084,1.7106966415388052,0.1115,5.834555823231225,1.0737,0.8943,23.0539,1943.181,25.268,album,True,29,3.7621486879960484,0.01694232711881984,-0.6437652908722895,17.0,Spring,0,0.9909092289430546
ART04205421,Rosa Chemical,LOBBY WAY,1.130145926702192,0.49114952893663966,0.6831403697746746,680,0.015195681152628841,3.81767955801105,0.438305709023941,1.6976436846849383,1.770505585899702,0.1575,6.5026089886289755,1.2172,0.8592,29.9563,2111.893,29.2586,album,True,23,3.617386922250637,1.1429013131687529,0.5771436964461851,22.0,Spring,0,0.9909092289430546
ART04205421,Rosa Chemical,SLATT,1.3476874031718618,0.49619251519916024,0.6831403697746746,657,-0.1260484938281202,4.031372549019608,0.5352941176470588,1.2990582859964912,1.7706746673593878,0.1761,6.948668224936289,1.3638,0.8193,36.5045,2137.0455,28.7634,album,True,24,3.602950973490977,1.3130518921856595,1.0476289264973526,21.0,Spring,1,0.9909092289430546
ART04205421,Rosa Chemical,MADE IN ITALY,-1.1978846437769226,0.49114952893663966,1.338598931093507,584,-0.5936170665327598,3.935840707964602,0.5376106194690266,1.4749348883386149,1.7629197590257335,0.1969,7.040310088777128,1.2137,0.8385,40.9769,1861.3738,28.079,single,True,50,3.6530346089367702,0.34449279863702326,0.7739513658676195,4.0,Winter,0,0.79557152573163
ART04205421,Rosa Chemical,ROSE & ROVI,0.9768424106799123,0.4956437904880997,0.6831403697746746,589,1.566903703525818,3.851508120649652,0.5545243619489559,1.0453437587355368,1.7999496802294024,0.1449,6.383914007031317,1.091,0.8995,30.1906,1757.9368,22.5514,album,True,27,3.7055051435514144,1.2825407400769595,0.3344194541462415,18.0,Spring,0,0.9909092289430546
ART04205421,Rosa Chemical,POLKA 3,1.6573046893475325,-1.15640175280914,1.1093083163362445,487,0.37288038467315954,3.8451443569553807,0.4960629921259842,0.6685404386980188,1.762287824612526,0.1212,5.967621017981169,1.1937,0.8793,26.471,2394.9852,25.6333,single,False,40,3.5601377586997973,0.6459396598400396,-0.0440644297809592,10.0,Summer,0,0.8777038688579311
ART04205421,Rosa Chemical,COSANOSTRA,0.7707213765619283,0.49586692388396064,0.6831403697746746,497,0.7132210378554021,4.046997389033942,0.5404699738903395,1.963431664481673,1.7252336518922524,0.1872,7.111444703310373,1.2525,0.7574,33.8207,1726.0318,25.7406,album,True,25,3.4195701060884147,1.4111688712830577,0.7961695475066732,20.0,Spring,0,0.9909092289430546
ART04205421,Rosa Chemical,NUOVI GAY,2.139360161404902,0.47676772909548076,0.6831403697746746,332,-1.3536465912611226,3.785992217898833,0.5797665369649806,0.687822718879186,1.7641755029815558,0.1394,6.472686491766845,1.41,0.8123,26.8521,2877.0575,32.8955,album,True,21,3.808425247764423,1.9635881929495342,0.9127426588409386,24.0,Spring,0,0.9909092289430546
ART04205421,Rosa Chemical,OCCHIO E CROCE,0.9768424106799123,0.4960653293817786,0.6831403697746746,455,0.6813695958640686,4.254385964912281,0.5672514619883041,1.1999128556986314,1.765541789081333,0.1643,7.072175022423132,1.2107,0.7858,29.5363,1794.6078,20.1684,album,True,23,3.405098686344387,1.6825704562078612,0.7124297150902179,22.0,Spring,0,0.9909092289430546
ART04205421,Rosa Chemical,​life :-(,-1.1978846437769226,-1.15640175280914,0.8908183027593909,441,0.453744595370649,3.782608695652174,0.5031055900621118,0.33416857361761243,1.7587062262307542,0.1677,7.226181237458786,1.1177,0.8561,31.6904,1784.9531,18.3843,album,False,26,3.3737875777982462,-0.7624190802017284,0.12279141796172072,19.0,Spring,0,0.9401695443020374
